Using cuDNN version 5110 on context None
Preallocating 3656/12189 Mb (0.300000) on cuda1
Mapped name None to device cuda1: TITAN X (Pascal) (0000:81:00.0)
current save dir  /home/guoyuyu/results/youtube/MP_Double_LSTM_Res/save_dir/
creating directory /home/guoyuyu/results/youtube/MP_Double_LSTM_Res/save_dir/
erasing everything in  /home/guoyuyu/results/youtube/MP_Double_LSTM_Res/save_dir/
rm: cannot remove ‘/home/guoyuyu/results/youtube/MP_Double_LSTM_Res/save_dir//*’: No such file or directory
saving model config into /home/guoyuyu/results/youtube/MP_Double_LSTM_Res/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/MP_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text googlenet features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 33.8547 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 50.1680297852 fetching data time spent (sec) 0.064 update time spent (sec) 0.583
Epoch  0 Update  20 Train cost mean so far 44.1648597717 fetching data time spent (sec) 0.054 update time spent (sec) 0.506
Epoch  0 Update  30 Train cost mean so far 42.8893852234 fetching data time spent (sec) 0.055 update time spent (sec) 0.488
Epoch  0 Update  40 Train cost mean so far 42.6493988037 fetching data time spent (sec) 0.055 update time spent (sec) 0.495
Epoch  0 Update  50 Train cost mean so far 44.4421157837 fetching data time spent (sec) 0.059 update time spent (sec) 0.613
Epoch  0 Update  60 Train cost mean so far 37.6687965393 fetching data time spent (sec) 0.049 update time spent (sec) 0.504
Epoch  0 Update  70 Train cost mean so far 45.8034934998 fetching data time spent (sec) 0.057 update time spent (sec) 0.488
Epoch  0 Update  80 Train cost mean so far 41.8815994263 fetching data time spent (sec) 0.061 update time spent (sec) 0.541
Epoch  0 Update  90 Train cost mean so far 39.1889343262 fetching data time spent (sec) 0.058 update time spent (sec) 0.521
Epoch  0 Update  100 Train cost mean so far 45.3238792419 fetching data time spent (sec) 0.057 update time spent (sec) 0.537
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a man is is
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a man is is a
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a person is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  5 :  a boller is balling
Sample ( 5 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a man is is a
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a man is is
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
------------- sampling from valid ----------
Truth  0 :  a man playing a guitar
Sample ( 0 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  1 :  the lady came down the tree on a vine
Sample ( 1 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a man dances on a bench
Sample ( 2 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  3 :  a man is dancing
Sample ( 3 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  4 :  a man is dancing
Sample ( 4 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  5 :  the man is teaching how to cook turkey
Sample ( 5 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  6 :  a man is playing a flute for a woman
Sample ( 6 )  :  a man is is a
Truth  7 :  a cat is sliding upside down under a couch
Sample ( 7 )  :  a man is is
Truth  8 :  a man seated on a huge rock in an outdoor location is playing a flute as a woman watches him
Sample ( 8 )  :  a man is is a
Truth  9 :  broccoli is peeled with a knife
Sample ( 9 )  :  a man is is a a a a a a a a a a a a a a a a a a a a a a a a a a
Epoch  0 Update  110 Train cost mean so far 38.113658905 fetching data time spent (sec) 0.057 update time spent (sec) 0.53
Epoch  0 Update  120 Train cost mean so far 43.8195838928 fetching data time spent (sec) 0.062 update time spent (sec) 0.582
Epoch  0 Update  130 Train cost mean so far 41.1599998474 fetching data time spent (sec) 0.057 update time spent (sec) 0.544
Epoch  0 Update  140 Train cost mean so far 42.7145881653 fetching data time spent (sec) 0.054 update time spent (sec) 0.59
Epoch  0 Update  150 Train cost mean so far 34.1513442993 fetching data time spent (sec) 0.059 update time spent (sec) 0.465
Epoch  0 Update  160 Train cost mean so far 35.9189338684 fetching data time spent (sec) 0.057 update time spent (sec) 0.521
Epoch  0 Update  170 Train cost mean so far 36.9687042236 fetching data time spent (sec) 0.06 update time spent (sec) 0.43
Epoch  0 Update  180 Train cost mean so far 39.1488685608 fetching data time spent (sec) 0.052 update time spent (sec) 0.581
Epoch  0 Update  190 Train cost mean so far 37.1946411133 fetching data time spent (sec) 0.061 update time spent (sec) 0.533
Epoch  0 Update  200 Train cost mean so far 33.3516616821 fetching data time spent (sec) 0.06 update time spent (sec) 0.524
------------- sampling from train ----------
Truth  0 :  a man is dancing on the ceiling
Sample ( 0 )  :  a man is a a a
Truth  1 :  food is poured and mixed on a hot plate
Sample ( 1 )  :  a woman is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a young man is dancing
Sample ( 2 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  3 :  a woman makes a phone call
Sample ( 3 )  :  a man is a a a
Truth  4 :  a man is singing into a microphone
Sample ( 4 )  :  a man is a
Truth  5 :  a man and a woman race each other swimming across a pool
Sample ( 5 )  :  a man is a a a a
Truth  6 :  a woman is slicing garlic
Sample ( 6 )  :  a woman is slicing a
Truth  7 :  a person is mixing a pot of rice
Sample ( 7 )  :  a person is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  8 :  a boy is running
Sample ( 8 )  :  a man is a a a
Truth  9 :  a play takes off
Sample ( 9 )  :  a man is a a
------------- sampling from valid ----------
Truth  0 :  two persons are in the bar
Sample ( 0 )  :  a man is a a a
Truth  1 :  the dog is eating watermelon
Sample ( 1 )  :  a dog is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a man put coffee in a mug
Sample ( 2 )  :  a man is a a
Truth  3 :  a person makes french fries
Sample ( 3 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  4 :  someone playing something
Sample ( 4 )  :  a man is playing a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  5 :  a man draws a four sided shape on a screen and then puts an x inside of it
Sample ( 5 )  :  a man is a a
Truth  6 :  two women are dancing
Sample ( 6 )  :  a man is a a
Truth  7 :  an indian woman is dancing
Sample ( 7 )  :  a man is a a
Truth  8 :  kitties are playing
Sample ( 8 )  :  a cat is a a a
Truth  9 :  a man is interviewing on television
Sample ( 9 )  :  a man is a a
Epoch  0 Update  210 Train cost mean so far 33.3399505615 fetching data time spent (sec) 0.059 update time spent (sec) 0.557
Epoch  0 Update  220 Train cost mean so far 38.986366272 fetching data time spent (sec) 0.06 update time spent (sec) 0.594
Epoch  0 Update  230 Train cost mean so far 37.9598007202 fetching data time spent (sec) 0.057 update time spent (sec) 0.539
Epoch  0 Update  240 Train cost mean so far 39.4607696533 fetching data time spent (sec) 0.066 update time spent (sec) 0.55
Epoch  0 Update  250 Train cost mean so far 38.4694366455 fetching data time spent (sec) 0.057 update time spent (sec) 0.656
Epoch  0 Update  260 Train cost mean so far 41.1068191528 fetching data time spent (sec) 0.057 update time spent (sec) 0.624
Epoch  0 Update  270 Train cost mean so far 42.1485366821 fetching data time spent (sec) 0.054 update time spent (sec) 0.595
Epoch  0 Update  280 Train cost mean so far 38.5312728882 fetching data time spent (sec) 0.053 update time spent (sec) 0.517
Epoch  0 Update  290 Train cost mean so far 38.363948822 fetching data time spent (sec) 0.057 update time spent (sec) 0.511
Epoch  0 Update  300 Train cost mean so far 37.8209686279 fetching data time spent (sec) 0.055 update time spent (sec) 0.478
------------- sampling from train ----------
Truth  0 :  a man slices bread
Sample ( 0 )  :  a man is
Truth  1 :  the cat is playing in forest
Sample ( 1 )  :  a is is is
Truth  2 :  a woman is pouring eggs into a pan
Sample ( 2 )  :  a man is
Truth  3 :  a hampster is eating
Sample ( 3 )  :  a is is
Truth  4 :  someone is washing their foot with a toothbrush
Sample ( 4 )  :  a man is
Truth  5 :  someone is seasoning beans
Sample ( 5 )  :  a man is cooking
Truth  6 :  the car ran into the building
Sample ( 6 )  :  a man is
Truth  7 :  a man cooking his kichen
Sample ( 7 )  :  a man is
Truth  8 :  a man is cleaning a floor with an industrial machine
Sample ( 8 )  :  a man is
Truth  9 :  a monkey is swinging on the trees
Sample ( 9 )  :  a man is a
------------- sampling from valid ----------
Truth  0 :  a man eating food
Sample ( 0 )  :  a man is
Truth  1 :  they are hitting that steel slappin
Sample ( 1 )  :  a man is
Truth  2 :  the girl wrote on the paper in the field
