Using cuDNN version 5110 on context None
Preallocating 2437/12189 Mb (0.200000) on cuda1
Mapped name None to device cuda1: TITAN X (Pascal) (0000:81:00.0)
current save dir  /home/guoyuyu/results/youtube/TS_Double_LSTM_NoBN_OptRes/save_dir/
creating directory /home/guoyuyu/results/youtube/TS_Double_LSTM_NoBN_OptRes/save_dir/
erasing everything in  /home/guoyuyu/results/youtube/TS_Double_LSTM_NoBN_OptRes/save_dir/
rm: cannot remove ‘/home/guoyuyu/results/youtube/TS_Double_LSTM_NoBN_OptRes/save_dir//*’: No such file or directory
saving model config into /home/guoyuyu/results/youtube/TS_Double_LSTM_NoBN_OptRes/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/TS_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text opt_res features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('ts_lstm_W', ts_lstm_W), ('ts_lstm_U', ts_lstm_U), ('ts_lstm_b', ts_lstm_b), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 23.4652 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 51.1036758423 fetching data time spent (sec) 0.129 update time spent (sec) 0.423
Epoch  0 Update  20 Train cost mean so far 45.0995445251 fetching data time spent (sec) 0.11 update time spent (sec) 0.394
Epoch  0 Update  30 Train cost mean so far 43.3403205872 fetching data time spent (sec) 0.103 update time spent (sec) 0.391
Epoch  0 Update  40 Train cost mean so far 42.8977241516 fetching data time spent (sec) 0.107 update time spent (sec) 0.439
Epoch  0 Update  50 Train cost mean so far 45.6028366089 fetching data time spent (sec) 0.111 update time spent (sec) 0.452
Epoch  0 Update  60 Train cost mean so far 39.1017150879 fetching data time spent (sec) 0.097 update time spent (sec) 0.469
Epoch  0 Update  70 Train cost mean so far 47.8360366821 fetching data time spent (sec) 0.113 update time spent (sec) 0.407
Epoch  0 Update  80 Train cost mean so far 44.3529396057 fetching data time spent (sec) 0.121 update time spent (sec) 0.5
Epoch  0 Update  90 Train cost mean so far 41.0494155884 fetching data time spent (sec) 0.108 update time spent (sec) 0.381
Epoch  0 Update  100 Train cost mean so far 47.7054023743 fetching data time spent (sec) 0.117 update time spent (sec) 0.426
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a man
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a man
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a man
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a man
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a man
Truth  5 :  a boller is balling
Sample ( 5 )  :  a man
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a man
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a man
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a man
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a man
------------- sampling from valid ----------
Truth  0 :  the man is slicing a vegetable
Sample ( 0 )  :  a man
Truth  1 :  a women is playing flute
Sample ( 1 )  :  a man
Truth  2 :  a bird is dancing on the back of a chair
Sample ( 2 )  :  a man
Truth  3 :  somebody is working in a computer
Sample ( 3 )  :  a man
Truth  4 :  the woman is writing
Sample ( 4 )  :  a man
Truth  5 :  a woman is taking her pet dog for a walk on the street
Sample ( 5 )  :  a man
Truth  6 :  women are preforming a traditonal dance
Sample ( 6 )  :  a man
Truth  7 :  a lady is garnishing
Sample ( 7 )  :  a man
Truth  8 :  a gwomen singing with piano
Sample ( 8 )  :  a man
Truth  9 :  a kitten is playing on top of a cat toy
Sample ( 9 )  :  a man
Epoch  0 Update  110 Train cost mean so far 42.0036087036 fetching data time spent (sec) 0.106 update time spent (sec) 0.356
Epoch  0 Update  120 Train cost mean so far 46.5779533386 fetching data time spent (sec) 0.103 update time spent (sec) 0.428
Epoch  0 Update  130 Train cost mean so far 44.2815818787 fetching data time spent (sec) 0.108 update time spent (sec) 0.398
Epoch  0 Update  140 Train cost mean so far 46.1198234558 fetching data time spent (sec) 0.139 update time spent (sec) 0.452
Epoch  0 Update  150 Train cost mean so far 36.6759185791 fetching data time spent (sec) 0.121 update time spent (sec) 0.436
Epoch  0 Update  160 Train cost mean so far 38.689666748 fetching data time spent (sec) 0.115 update time spent (sec) 0.453
Epoch  0 Update  170 Train cost mean so far 39.5090255737 fetching data time spent (sec) 0.114 update time spent (sec) 0.417
Epoch  0 Update  180 Train cost mean so far 42.0016174316 fetching data time spent (sec) 0.105 update time spent (sec) 0.522
Epoch  0 Update  190 Train cost mean so far 40.0813407898 fetching data time spent (sec) 0.115 update time spent (sec) 0.453
Epoch  0 Update  200 Train cost mean so far 36.8955535889 fetching data time spent (sec) 0.109 update time spent (sec) 0.442
------------- sampling from train ----------
Truth  0 :  a man is dancing on the ceiling
Sample ( 0 )  :  a man is
Truth  1 :  food is poured and mixed on a hot plate
Sample ( 1 )  :  a man is
Truth  2 :  a young man is dancing
Sample ( 2 )  :  a man is
Truth  3 :  a woman makes a phone call
Sample ( 3 )  :  a man is
Truth  4 :  a man is singing into a microphone
Sample ( 4 )  :  a man is
Truth  5 :  a man and a woman race each other swimming across a pool
Sample ( 5 )  :  a man is
Truth  6 :  a woman is slicing garlic
Sample ( 6 )  :  a man is
Truth  7 :  a person is mixing a pot of rice
Sample ( 7 )  :  a man is
Truth  8 :  a boy is running
Sample ( 8 )  :  a man is
Truth  9 :  a play takes off
Sample ( 9 )  :  a man is
------------- sampling from valid ----------
Truth  0 :  a hamster is playing with the vacuum cleaner
