Using cuDNN version 5110 on context None
Preallocating 2437/12189 Mb (0.200000) on cuda1
Mapped name None to device cuda1: TITAN X (Pascal) (0000:81:00.0)
current save dir  /home/guoyuyu/results/youtube/TS_Double_LSTM_Res/save_dir/
/home/guoyuyu/results/youtube/TS_Double_LSTM_Res/save_dir/ already exists!
erasing everything in  /home/guoyuyu/results/youtube/TS_Double_LSTM_Res/save_dir/
saving model config into /home/guoyuyu/results/youtube/TS_Double_LSTM_Res/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/TS_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text googlenet features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('BN_gamma', BN_gamma), ('BN_beta', BN_beta), ('ts_lstm_W', ts_lstm_W), ('ts_lstm_U', ts_lstm_U), ('ts_lstm_b', ts_lstm_b), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 24.2866 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 72.7149200439 fetching data time spent (sec) 0.06 update time spent (sec) 0.467
Epoch  0 Update  20 Train cost mean so far 47.1761360168 fetching data time spent (sec) 0.058 update time spent (sec) 0.369
Epoch  0 Update  30 Train cost mean so far 44.2144813538 fetching data time spent (sec) 0.056 update time spent (sec) 0.4
Epoch  0 Update  40 Train cost mean so far 43.5611190796 fetching data time spent (sec) 0.058 update time spent (sec) 0.466
Epoch  0 Update  50 Train cost mean so far 45.8866767883 fetching data time spent (sec) 0.06 update time spent (sec) 0.454
Epoch  0 Update  60 Train cost mean so far 39.3747215271 fetching data time spent (sec) 0.053 update time spent (sec) 0.479
Epoch  0 Update  70 Train cost mean so far 47.8581428528 fetching data time spent (sec) 0.056 update time spent (sec) 0.427
Epoch  0 Update  80 Train cost mean so far 42.9076576233 fetching data time spent (sec) 0.063 update time spent (sec) 0.436
Epoch  0 Update  90 Train cost mean so far 40.4668159485 fetching data time spent (sec) 0.058 update time spent (sec) 0.365
Epoch  0 Update  100 Train cost mean so far 46.1097335815 fetching data time spent (sec) 0.058 update time spent (sec) 0.462
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a man is
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a man is
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a man is
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a man is
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a man is
Truth  5 :  a boller is balling
Sample ( 5 )  :  a man is
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a man is
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a man is
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a man is
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a man is
------------- sampling from valid ----------
Truth  0 :  a woman prepares her cup of coffee
Sample ( 0 )  :  a man is
Truth  1 :  a boy is standing in the rain
Sample ( 1 )  :  a man is
