Using cuDNN version 5110 on context None
Preallocating 3656/12189 Mb (0.300000) on cuda1
Mapped name None to device cuda1: TITAN X (Pascal) (0000:81:00.0)
current save dir  /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_Dmean_OptRes/save_dir/
/home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_Dmean_OptRes/save_dir/ already exists!
erasing everything in  /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_Dmean_OptRes/save_dir/
saving model config into /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_Dmean_OptRes/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/TS_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text opt_res features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('ts_lstm_W', ts_lstm_W), ('ts_lstm_U', ts_lstm_U), ('ts_lstm_b', ts_lstm_b), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 26.7882 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 51.5381546021 fetching data time spent (sec) 0.119 update time spent (sec) 0.477
Epoch  0 Update  20 Train cost mean so far 45.6663131714 fetching data time spent (sec) 0.139 update time spent (sec) 0.415
Epoch  0 Update  30 Train cost mean so far 43.2190513611 fetching data time spent (sec) 0.098 update time spent (sec) 0.415
Epoch  0 Update  40 Train cost mean so far 43.4008789062 fetching data time spent (sec) 0.1 update time spent (sec) 0.469
Epoch  0 Update  50 Train cost mean so far 45.6118545532 fetching data time spent (sec) 0.105 update time spent (sec) 0.558
Epoch  0 Update  60 Train cost mean so far 40.56016922 fetching data time spent (sec) 0.098 update time spent (sec) 0.484
Epoch  0 Update  70 Train cost mean so far 47.7653083801 fetching data time spent (sec) 0.115 update time spent (sec) 0.473
Epoch  0 Update  80 Train cost mean so far 44.6822433472 fetching data time spent (sec) 0.115 update time spent (sec) 0.495
Epoch  0 Update  90 Train cost mean so far 41.256855011 fetching data time spent (sec) 0.108 update time spent (sec) 0.403
Epoch  0 Update  100 Train cost mean so far 48.2426185608 fetching data time spent (sec) 0.108 update time spent (sec) 0.463
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a
Truth  5 :  a boller is balling
Sample ( 5 )  :  a
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a
------------- sampling from valid ----------
Truth  0 :  a guy is eating
Sample ( 0 )  :  a
Truth  1 :  a person is placing strawberries atop a cake
Sample ( 1 )  :  a
Truth  2 :  a man is cutting a piece of carpet with a knife
Sample ( 2 )  :  a
Truth  3 :  a man is dancing
Sample ( 3 )  :  a
Truth  4 :  a man is cutting up a cucumber
Sample ( 4 )  :  a
Truth  5 :  a boy is throwing baseballs at another boy who is not catching but being hit by them
Sample ( 5 )  :  a
Truth  6 :  a skater skates on a half pipe
Sample ( 6 )  :  a
Truth  7 :  the man behind the rock shot the man on the horse
Sample ( 7 )  :  a
Truth  8 :  some one toucing the baby beavers
Sample ( 8 )  :  a
Truth  9 :  you are a very good musician but just want a good singer
Sample ( 9 )  :  a
Epoch  0 Update  110 Train cost mean so far 41.3130569458 fetching data time spent (sec) 0.107 update time spent (sec) 0.391
Epoch  0 Update  120 Train cost mean so far 47.195400238 fetching data time spent (sec) 0.139 update time spent (sec) 0.62
Epoch  0 Update  130 Train cost mean so far 43.9328536987 fetching data time spent (sec) 0.142 update time spent (sec) 0.529
Epoch  0 Update  140 Train cost mean so far 45.7908477783 fetching data time spent (sec) 0.105 update time spent (sec) 0.476
Epoch  0 Update  150 Train cost mean so far 37.475315094 fetching data time spent (sec) 0.121 update time spent (sec) 0.438
Epoch  0 Update  160 Train cost mean so far 38.545665741 fetching data time spent (sec) 0.111 update time spent (sec) 0.408
Epoch  0 Update  170 Train cost mean so far 40.3747253418 fetching data time spent (sec) 0.115 update time spent (sec) 0.392
Epoch  0 Update  180 Train cost mean so far 42.0592422485 fetching data time spent (sec) 0.1 update time spent (sec) 0.484
Epoch  0 Update  190 Train cost mean so far 39.9634361267 fetching data time spent (sec) 0.122 update time spent (sec) 0.429
Epoch  0 Update  200 Train cost mean so far 37.0149230957 fetching data time spent (sec) 0.111 update time spent (sec) 0.464
------------- sampling from train ----------
Truth  0 :  a man is dancing on the ceiling
Sample ( 0 )  :  a man is
Truth  1 :  food is poured and mixed on a hot plate
Sample ( 1 )  :  a man is
Truth  2 :  a young man is dancing
Sample ( 2 )  :  a man is
Truth  3 :  a woman makes a phone call
Sample ( 3 )  :  a man is
Truth  4 :  a man is singing into a microphone
Sample ( 4 )  :  a man is
Truth  5 :  a man and a woman race each other swimming across a pool
Sample ( 5 )  :  a man is
Truth  6 :  a woman is slicing garlic
Sample ( 6 )  :  a man is
Truth  7 :  a person is mixing a pot of rice
Sample ( 7 )  :  a man is
Truth  8 :  a boy is running
Sample ( 8 )  :  a man is
Truth  9 :  a play takes off
Sample ( 9 )  :  a man is
------------- sampling from valid ----------
Truth  0 :  two persons are in the bar
Sample ( 0 )  :  a man is
Truth  1 :  the dog is eating watermelon
Sample ( 1 )  :  a man is
Truth  2 :  a man put coffee in a mug
Sample ( 2 )  :  a man is
Truth  3 :  a person makes french fries
Sample ( 3 )  :  a man is
Truth  4 :  someone playing something
Sample ( 4 )  :  a man is
Truth  5 :  a man draws a four sided shape on a screen and then puts an x inside of it
Sample ( 5 )  :  a man is
Truth  6 :  two women are dancing
Sample ( 6 )  :  a man is
Truth  7 :  an indian woman is dancing
Sample ( 7 )  :  a man is
Truth  8 :  kitties are playing
Sample ( 8 )  :  a man is
Truth  9 :  a man is interviewing on television
Sample ( 9 )  :  a man is
Epoch  0 Update  210 Train cost mean so far 36.935585022 fetching data time spent (sec) 0.114 update time spent (sec) 0.479
Epoch  0 Update  220 Train cost mean so far 41.8799934387 fetching data time spent (sec) 0.125 update time spent (sec) 0.549
Epoch  0 Update  230 Train cost mean so far 39.9147148132 fetching data time spent (sec) 0.115 update time spent (sec) 0.458
Epoch  0 Update  240 Train cost mean so far 42.0193328857 fetching data time spent (sec) 0.126 update time spent (sec) 0.448
Epoch  0 Update  250 Train cost mean so far 41.8724822998 fetching data time spent (sec) 0.111 update time spent (sec) 0.581
Epoch  0 Update  260 Train cost mean so far 44.5107955933 fetching data time spent (sec) 0.11 update time spent (sec) 0.558
Epoch  0 Update  270 Train cost mean so far 45.6268692017 fetching data time spent (sec) 0.11 update time spent (sec) 0.553
Epoch  0 Update  280 Train cost mean so far 41.0176391602 fetching data time spent (sec) 0.105 update time spent (sec) 0.494
Epoch  0 Update  290 Train cost mean so far 41.2974510193 fetching data time spent (sec) 0.113 update time spent (sec) 0.422
Epoch  0 Update  300 Train cost mean so far 40.7487831116 fetching data time spent (sec) 0.117 update time spent (sec) 0.544
------------- sampling from train ----------
Truth  0 :  a man slices bread
Sample ( 0 )  :  a man is
Truth  1 :  the cat is playing in forest
Sample ( 1 )  :  a man is
Truth  2 :  a woman is pouring eggs into a pan
Sample ( 2 )  :  a man is
Truth  3 :  a hampster is eating
Sample ( 3 )  :  a man is
Truth  4 :  someone is washing their foot with a toothbrush
Sample ( 4 )  :  a man is
Truth  5 :  someone is seasoning beans
Sample ( 5 )  :  a man is
Truth  6 :  the car ran into the building
Sample ( 6 )  :  a man is
Truth  7 :  a man cooking his kichen
Sample ( 7 )  :  a man is
Truth  8 :  a man is cleaning a floor with an industrial machine
Sample ( 8 )  :  a man is
Truth  9 :  a monkey is swinging on the trees
Sample ( 9 )  :  a man is
------------- sampling from valid ----------
Truth  0 :  two persons are in the bar
Sample ( 0 )  :  a man is
Truth  1 :  the dog is eating watermelon
Sample ( 1 )  :  a man is
