Using cuDNN version 5110 on context None
Preallocating 2437/12189 Mb (0.200000) on cuda1
Mapped name None to device cuda1: TITAN X (Pascal) (0000:81:00.0)
current save dir  /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_OptRes/save_dir/
/home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_OptRes/save_dir/ already exists!
erasing everything in  /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_OptRes/save_dir/
saving model config into /home/guoyuyu/results/youtube/TS_mean_Double_LSTM_NoBN_OptRes/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/TS_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text opt_res features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('ts_lstm_W', ts_lstm_W), ('ts_lstm_U', ts_lstm_U), ('ts_lstm_b', ts_lstm_b), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 22.3571 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 51.4017372131 fetching data time spent (sec) 0.117 update time spent (sec) 0.415
Epoch  0 Update  20 Train cost mean so far 46.348526001 fetching data time spent (sec) 0.105 update time spent (sec) 0.355
Epoch  0 Update  30 Train cost mean so far 43.0144004822 fetching data time spent (sec) 0.098 update time spent (sec) 0.347
Epoch  0 Update  40 Train cost mean so far 43.0121459961 fetching data time spent (sec) 0.102 update time spent (sec) 0.381
Epoch  0 Update  50 Train cost mean so far 44.9018974304 fetching data time spent (sec) 0.107 update time spent (sec) 0.44
Epoch  0 Update  60 Train cost mean so far 39.6337852478 fetching data time spent (sec) 0.093 update time spent (sec) 0.407
Epoch  0 Update  70 Train cost mean so far 48.0507354736 fetching data time spent (sec) 0.105 update time spent (sec) 0.384
Epoch  0 Update  80 Train cost mean so far 44.1111373901 fetching data time spent (sec) 0.111 update time spent (sec) 0.418
Epoch  0 Update  90 Train cost mean so far 40.5213851929 fetching data time spent (sec) 0.105 update time spent (sec) 0.352
Epoch  0 Update  100 Train cost mean so far 47.3047485352 fetching data time spent (sec) 0.107 update time spent (sec) 0.416
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a man is is
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a man is is
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a man is
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a man is is
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a man is is
Truth  5 :  a boller is balling
Sample ( 5 )  :  a man is is
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a man is is
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a man is is
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a man is is
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a man is is
------------- sampling from valid ----------
Truth  0 :  a baby is playing
Sample ( 0 )  :  a man is is
Truth  1 :  a man plays guitar
Sample ( 1 )  :  a man is is
Truth  2 :  a man is shot on a horse
Sample ( 2 )  :  a man is is
Truth  3 :  the girl wrote on paper while sitting outside
Sample ( 3 )  :  a man is is
Truth  4 :  gelato is like a puppy
Sample ( 4 )  :  a man is is
Truth  5 :  a person is fighting with the lion
Sample ( 5 )  :  a man is is
Truth  6 :  a guy is preparing the chicken roast
Sample ( 6 )  :  a man is is
Truth  7 :  the person is cooking the something
Sample ( 7 )  :  a man is is
Truth  8 :  bullet holes are appearing on a target
Sample ( 8 )  :  a man is is
Truth  9 :  a man is pouring a drink into two cups
Sample ( 9 )  :  a man is is
Epoch  0 Update  110 Train cost mean so far 41.9448547363 fetching data time spent (sec) 0.104 update time spent (sec) 0.344
Epoch  0 Update  120 Train cost mean so far 46.2180709839 fetching data time spent (sec) 0.101 update time spent (sec) 0.397
Epoch  0 Update  130 Train cost mean so far 43.7986602783 fetching data time spent (sec) 0.107 update time spent (sec) 0.374
Epoch  0 Update  140 Train cost mean so far 45.4573783875 fetching data time spent (sec) 0.103 update time spent (sec) 0.429
Epoch  0 Update  150 Train cost mean so far 36.7010231018 fetching data time spent (sec) 0.112 update time spent (sec) 0.378
Epoch  0 Update  160 Train cost mean so far 37.9748649597 fetching data time spent (sec) 0.101 update time spent (sec) 0.379
Epoch  0 Update  170 Train cost mean so far 39.3072509766 fetching data time spent (sec) 0.111 update time spent (sec) 0.348
Epoch  0 Update  180 Train cost mean so far 42.2311248779 fetching data time spent (sec) 0.098 update time spent (sec) 0.453
