Using cuDNN version 5110 on context None
Preallocating 3656/12189 Mb (0.300000) on cuda0
Mapped name None to device cuda0: TITAN X (Pascal) (0000:02:00.0)
current save dir  /home/guoyuyu/results/youtube/TS_mean_Double_initts_LSTM_NoBN_tem3_ffts2mu_OptRes/save_dir/
/home/guoyuyu/results/youtube/TS_mean_Double_initts_LSTM_NoBN_tem3_ffts2mu_OptRes/save_dir/ already exists!
erasing everything in  /home/guoyuyu/results/youtube/TS_mean_Double_initts_LSTM_NoBN_tem3_ffts2mu_OptRes/save_dir/
saving model config into /home/guoyuyu/results/youtube/TS_mean_Double_initts_LSTM_NoBN_tem3_ffts2mu_OptRes/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/TS_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text opt_res features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('ff_init_tslstm_hid_W', ff_init_tslstm_hid_W), ('ff_init_tslstm_hid_b', ff_init_tslstm_hid_b), ('ff_init_tslstm_mem_W', ff_init_tslstm_mem_W), ('ff_init_tslstm_mem_b', ff_init_tslstm_mem_b), ('ts_lstm_W', ts_lstm_W), ('ts_lstm_U', ts_lstm_U), ('ts_lstm_b', ts_lstm_b), ('ff_ts2mu_W', ff_ts2mu_W), ('ff_ts2mu_b', ff_ts2mu_b), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 30.6006 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 54.1774902344 fetching data time spent (sec) 0.107 update time spent (sec) 0.467
Epoch  0 Update  20 Train cost mean so far 45.8934402466 fetching data time spent (sec) 0.106 update time spent (sec) 0.387
Epoch  0 Update  30 Train cost mean so far 42.9612884521 fetching data time spent (sec) 0.092 update time spent (sec) 0.389
Epoch  0 Update  40 Train cost mean so far 42.575214386 fetching data time spent (sec) 0.096 update time spent (sec) 0.447
Epoch  0 Update  50 Train cost mean so far 44.6264457703 fetching data time spent (sec) 0.105 update time spent (sec) 0.479
Epoch  0 Update  60 Train cost mean so far 38.216594696 fetching data time spent (sec) 0.093 update time spent (sec) 0.433
Epoch  0 Update  70 Train cost mean so far 46.3653831482 fetching data time spent (sec) 0.099 update time spent (sec) 0.413
Epoch  0 Update  80 Train cost mean so far 43.1299629211 fetching data time spent (sec) 0.102 update time spent (sec) 0.449
Epoch  0 Update  90 Train cost mean so far 39.4399108887 fetching data time spent (sec) 0.101 update time spent (sec) 0.386
Epoch  0 Update  100 Train cost mean so far 45.7891616821 fetching data time spent (sec) 0.099 update time spent (sec) 0.467
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  5 :  a boller is balling
Sample ( 5 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
------------- sampling from valid ----------
Truth  0 :  a cat is walking on it 's front legs
Sample ( 0 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  1 :  people are jumping in the water
Sample ( 1 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  2 :  a man pours oil on tomato slices
Sample ( 2 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  3 :  a cat is playing
Sample ( 3 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  4 :  two black men are walking down the isle near the dance floor in a bar
Sample ( 4 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  5 :  a man is cutting a carrot
Sample ( 5 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  6 :  a little boy is playing guitar on a stage
Sample ( 6 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  7 :  someone is working on computer
Sample ( 7 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  8 :  a dog eating a watermelon
Sample ( 8 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Truth  9 :  the target got more bullet holes in it
Sample ( 9 )  :  a man is a a a a a a a a a a a a a a a a a a a a a a a a a a a
Epoch  0 Update  110 Train cost mean so far 39.3952713013 fetching data time spent (sec) 0.099 update time spent (sec) 0.416
Epoch  0 Update  120 Train cost mean so far 45.4019927979 fetching data time spent (sec) 0.096 update time spent (sec) 0.446
Epoch  0 Update  130 Train cost mean so far 42.8409996033 fetching data time spent (sec) 0.102 update time spent (sec) 0.401
Epoch  0 Update  140 Train cost mean so far 44.4993438721 fetching data time spent (sec) 0.098 update time spent (sec) 0.48
Epoch  0 Update  150 Train cost mean so far 36.1642837524 fetching data time spent (sec) 0.107 update time spent (sec) 0.422
Epoch  0 Update  160 Train cost mean so far 37.5199127197 fetching data time spent (sec) 0.097 update time spent (sec) 0.407
Epoch  0 Update  170 Train cost mean so far 38.7703933716 fetching data time spent (sec) 0.104 update time spent (sec) 0.39
Epoch  0 Update  180 Train cost mean so far 41.6896896362 fetching data time spent (sec) 0.093 update time spent (sec) 0.477
Epoch  0 Update  190 Train cost mean so far 39.8264732361 fetching data time spent (sec) 0.109 update time spent (sec) 0.436
Epoch  0 Update  200 Train cost mean so far 36.6068344116 fetching data time spent (sec) 0.104 update time spent (sec) 0.43
------------- sampling from train ----------
Truth  0 :  a man is dancing on the ceiling
Sample ( 0 )  :  a man is a a
Truth  1 :  food is poured and mixed on a hot plate
Sample ( 1 )  :  a man is a a
Truth  2 :  a young man is dancing
Sample ( 2 )  :  a man is a a
Truth  3 :  a woman makes a phone call
Sample ( 3 )  :  a man is a a
Truth  4 :  a man is singing into a microphone
Sample ( 4 )  :  a man is a a
Truth  5 :  a man and a woman race each other swimming across a pool
Sample ( 5 )  :  a man is a a
Truth  6 :  a woman is slicing garlic
Sample ( 6 )  :  a man is a a
Truth  7 :  a person is mixing a pot of rice
Sample ( 7 )  :  a man is a a
Truth  8 :  a boy is running
Sample ( 8 )  :  a man is a a
Truth  9 :  a play takes off
Sample ( 9 )  :  a man is a a
------------- sampling from valid ----------
Truth  0 :  the dog is running and is being hit by a obstacle
Sample ( 0 )  :  a man is a a
Truth  1 :  the boy danced on a park bench
Sample ( 1 )  :  a man is a a
Truth  2 :  a man gets shot on his horse
Sample ( 2 )  :  a man is a a
Truth  3 :  the mouse is eating
Sample ( 3 )  :  a man is a a
Truth  4 :  someone is shooting at a target
Sample ( 4 )  :  a man is a a
Truth  5 :  the man played his guitar
Sample ( 5 )  :  a man is a a
Truth  6 :  one man showing stunt during skating
Sample ( 6 )  :  a man is a a
Truth  7 :  a man pours oil over tomato slices
Sample ( 7 )  :  a man is a a
Truth  8 :  one young man is throwing tennis balls at another
Sample ( 8 )  :  a man is a a
Truth  9 :  a man is driving a toy car in office
Sample ( 9 )  :  a man is a a
Epoch  0 Update  210 Train cost mean so far 36.4207229614 fetching data time spent (sec) 0.105 update time spent (sec) 0.442
Epoch  0 Update  220 Train cost mean so far 41.1499137878 fetching data time spent (sec) 0.11 update time spent (sec) 0.477
Epoch  0 Update  230 Train cost mean so far 39.8898696899 fetching data time spent (sec) 0.104 update time spent (sec) 0.462
Epoch  0 Update  240 Train cost mean so far 42.1448898315 fetching data time spent (sec) 0.116 update time spent (sec) 0.43
Epoch  0 Update  250 Train cost mean so far 41.4491844177 fetching data time spent (sec) 0.101 update time spent (sec) 0.557
Epoch  0 Update  260 Train cost mean so far 44.6931648254 fetching data time spent (sec) 0.102 update time spent (sec) 0.498
Epoch  0 Update  270 Train cost mean so far 45.5219650269 fetching data time spent (sec) 0.097 update time spent (sec) 0.489
Epoch  0 Update  280 Train cost mean so far 41.2979736328 fetching data time spent (sec) 0.097 update time spent (sec) 0.419
Epoch  0 Update  290 Train cost mean so far 41.3930168152 fetching data time spent (sec) 0.103 update time spent (sec) 0.376
Epoch  0 Update  300 Train cost mean so far 40.5672340393 fetching data time spent (sec) 0.102 update time spent (sec) 0.419
------------- sampling from train ----------
Truth  0 :  a man slices bread
Sample ( 0 )  :  a man is
Truth  1 :  the cat is playing in forest
Sample ( 1 )  :  a man is
Truth  2 :  a woman is pouring eggs into a pan
Sample ( 2 )  :  a man is
Truth  3 :  a hampster is eating
Sample ( 3 )  :  a man is
Truth  4 :  someone is washing their foot with a toothbrush
Sample ( 4 )  :  a man is
Truth  5 :  someone is seasoning beans
Sample ( 5 )  :  a man is
Truth  6 :  the car ran into the building
Sample ( 6 )  :  a man is
Truth  7 :  a man cooking his kichen
Sample ( 7 )  :  a man is
Truth  8 :  a man is cleaning a floor with an industrial machine
Sample ( 8 )  :  a man is
Truth  9 :  a monkey is swinging on the trees
Sample ( 9 )  :  a man is
------------- sampling from valid ----------
Truth  0 :  the dog is running and is being hit by a obstacle
Sample ( 0 )  :  a man is
Truth  1 :  the boy danced on a park bench
Sample ( 1 )  :  a man is
Truth  2 :  a man gets shot on his horse
Sample ( 2 )  :  a man is
Truth  3 :  the mouse is eating
Sample ( 3 )  :  a man is
Truth  4 :  someone is shooting at a target
Sample ( 4 )  :  a man is
Truth  5 :  the man played his guitar
Sample ( 5 )  :  a man is
Truth  6 :  one man showing stunt during skating
Sample ( 6 )  :  a man is
Truth  7 :  a man pours oil over tomato slices
Sample ( 7 )  :  a man is
Truth  8 :  one young man is throwing tennis balls at another
Sample ( 8 )  :  a man is
Truth  9 :  a man is driving a toy car in office
Sample ( 9 )  :  a man is
Epoch  0 Update  310 Train cost mean so far 42.7676315308 fetching data time spent (sec) 0.093 update time spent (sec) 0.484
Epoch  0 Update  320 Train cost mean so far 42.4292869568 fetching data time spent (sec) 0.097 update time spent (sec) 0.48
Epoch  0 Update  330 Train cost mean so far 37.7256813049 fetching data time spent (sec) 0.099 update time spent (sec) 0.376
Epoch  0 Update  340 Train cost mean so far 40.0683746338 fetching data time spent (sec) 0.104 update time spent (sec) 0.438
Epoch  0 Update  350 Train cost mean so far 38.5498313904 fetching data time spent (sec) 0.094 update time spent (sec) 0.542
Epoch  0 Update  360 Train cost mean so far 39.5885429382 fetching data time spent (sec) 0.099 update time spent (sec) 0.423
Epoch  0 Update  370 Train cost mean so far 40.8989067078 fetching data time spent (sec) 0.1 update time spent (sec) 0.448
Epoch  0 Update  380 Train cost mean so far 43.8889694214 fetching data time spent (sec) 0.102 update time spent (sec) 0.536
Epoch  0 Update  390 Train cost mean so far 44.9009399414 fetching data time spent (sec) 0.093 update time spent (sec) 0.501
Epoch  0 Update  400 Train cost mean so far 39.9264984131 fetching data time spent (sec) 0.106 update time spent (sec) 0.452
------------- sampling from train ----------
Truth  0 :  a cat search a box
Sample ( 0 )  :  a man is playing
Truth  1 :  a pitcher is being filled with water
Sample ( 1 )  :  a man is playing
Truth  2 :  two puppies are playing with a piece of paper
Sample ( 2 )  :  a man is playing
Truth  3 :  a plane appears to fly out of the ocean
